ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Jaffna,[unknown],12,316,3416,5076,462,8954,5538,2.09634557,22.69563331,33.72184594,3.068810607,59.48628986,36.79065655,15053,1608,1497,296,0,1793,296,10.68225603,9.944861489,1.966385438,0,11.91124693,1.966385438,77.40649704,22.59350296,2.00,2.00
Ampara,Addalaichenai,74,0,21926,19592,0,41519,19592,0,44.51561178,39.77763592,0,84.2932477,39.77763592,49255,12219,10870,1747,14,12631,1761,24.80763374,22.0688255,3.546848036,0.02842351,25.64409705,3.575271546,49.54826921,50.45173079,2.00,2.00
Kalutara,Agalawatta,92,0,0,5837,35783,41620,41620,0,0,13.85677126,84.94604302,98.80281428,98.80281428,42124,2021,2021,2068,1187,5276,3255,4.797740006,4.797740006,4.909315355,2.817871047,12.52492641,7.727186402,82.67733359,17.32266641,2.00,1.00
Ampara,Akkaraipattu,53,1,32985,202,0,33187,202,0.001567548,84.7328727,0.518195266,0,85.25106797,0.518195266,38928,6043,4745,4159,19,8923,4178,15.52353062,12.18916975,10.68382655,0.048808056,22.92180436,10.73263461,61.55466502,38.44533498,2.00,1.00
Galle,Akmeemana,71,0,0,34354,61411,95765,95765,0,0,34.75911707,62.13454968,96.89366676,96.89366676,98835,8124,6367,5862,1943,14172,7805,8.219760206,6.442049881,5.931097283,1.965902767,14.33904993,7.897000051,77.44118986,22.55881014,2.00,2.00
Kandy,Akurana,30,0,0,32582,30419,63000,63000,0,0,46.20217609,43.13459565,89.33677174,89.33677174,70520,2981,3964,1284,1566,6814,2850,4.227169597,5.621100397,1.820760068,2.220646625,9.66250709,4.041406693,86.11032331,13.88967669,2.00,2.00
Matara,Akuressa,150,0,579,49720,6037,56335,55757,0,1.012356445,86.97612521,10.5603046,98.54878626,97.53642981,57165,2263,1972,2571,2574,7117,5145,3.958715998,3.449663255,4.497507216,4.502755182,12.44992565,9.000262398,83.59135835,16.40864165,2.00,2.00
Kurunegala,Alawwa,130,0,0,0,68266,68266,68266,0,0,0,99.40019911,99.40019911,99.40019911,68678,3669,2787,2308,1452,6547,3760,5.342322141,4.058068086,3.360610385,2.114214159,9.532892629,5.474824544,85.12478523,14.87521477,2.00,1.00
Ampara,Alayadivembu,66,17,22906,0,0,22906,0,0.071349752,94.94896331,0,0,94.94896331,0,24125,3124,2179,2097,651,4927,2748,12.9492228,9.032124352,8.692227979,2.698445596,20.42279793,11.39067358,66.62797927,33.37202073,2.00,1.00
Nuwara Eliya,Ambagamuwa,481,38,29901,102372,71245,203518,173617,0.01853452,14.55547868,49.83338518,34.68102465,99.06988852,84.51440984,205429,10042,6048,4361,6543,16952,10904,4.888306909,2.94408287,2.12287457,3.185042034,8.251999474,5.307916604,86.85969362,13.14030638,2.00,2.00
