FID,ADM2_EN,ADM3_EN,Shape_Leng,Shape_Area,Area,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk
0,Jaffna,[unknown],0.717203132,0.000978735,12,15053,1608,1497,296,0,1793,296,10.68225603,9.944861489,1.966385438,0,11.91124693,1.966385438,77.40649704,22.59350296
1,Ampara,Addalaichenai,0.504240023,0.006046607,74,49255,12219,10870,1747,14,12631,1761,24.80763374,22.0688255,3.546848036,0.02842351,25.64409705,3.575271546,49.54826921,50.45173079
2,Kalutara,Agalawatta,0.636128865,0.007542359,92,42124,2021,2021,2068,1187,5276,3255,4.797740006,4.797740006,4.909315355,2.817871047,12.52492641,7.727186402,82.67733359,17.32266641
3,Ampara,Akkaraipattu,0.554561983,0.00434443,53,38928,6043,4745,4159,19,8923,4178,15.52353062,12.18916975,10.68382655,0.048808056,22.92180436,10.73263461,61.55466502,38.44533498
4,Galle,Akmeemana,0.622385815,0.005813277,71,98835,8124,6367,5862,1943,14172,7805,8.219760206,6.442049881,5.931097283,1.965902767,14.33904993,7.897000051,77.44118986,22.55881014
5,Kandy,Akurana,0.311562167,0.002449745,30,70520,2981,3964,1284,1566,6814,2850,4.227169597,5.621100397,1.820760068,2.220646625,9.66250709,4.041406693,86.11032331,13.88967669
6,Matara,Akuressa,0.764545785,0.012261009,150,57165,2263,1972,2571,2574,7117,5145,3.958715998,3.449663255,4.497507216,4.502755182,12.44992565,9.000262398,83.59135835,16.40864165
7,Kurunegala,Alawwa,0.535741533,0.01066309,130,68678,3669,2787,2308,1452,6547,3760,5.342322141,4.058068086,3.360610385,2.114214159,9.532892629,5.474824544,85.12478523,14.87521477
8,Ampara,Alayadivembu,0.598597962,0.005432409,66,24125,3124,2179,2097,651,4927,2748,12.9492228,9.032124352,8.692227979,2.698445596,20.42279793,11.39067358,66.62797927,33.37202073
9,Nuwara Eliya,Ambagamuwa,1.63355486,0.039320873,481,205429,10042,6048,4361,6543,16952,10904,4.888306909,2.94408287,2.12287457,3.185042034,8.251999474,5.307916604,86.85969362,13.14030638
