district,poverty2002,poverty2012,ADM2_EN,hh_agri,pop_agri
Ampara,-,5.4,Ampara,0.875210643,0.741113603
Anuradhapura,20,7.6,Anuradhapura,2.074188232,2.008260489
Badulla,37,12.3,Badulla,5.241057873,4.347326756
Batticaloa,-,19.4,Batticaloa,6.118893623,5.2553339
Colombo,6,1.4,Colombo,12.75234985,11.46927071
Galle,26,9.9,Galle,22.65851784,21.30634689
Gampaha,11,2.1,Gampaha,10.99483395,10.15021896
Hambantota,32,4.9,Hambantota,13.04972935,12.11850452
Jaffna,-,8.3,Jaffna,14.01835346,12.87075424
Kalutara,20,3.1,Kalutara,6.485287189,6.478413105
Kandy,25,6.2,Kandy,9.142339706,9.204589844
Kegalle,32,6.7,Kegalle,10.7925806,9.244297981
Kilinochchi,-,12.7,Kilinochchi,16.73418045,16.19115829
Kurunegala,25,6.5,Kurunegala,6.675792694,6.427122116
Mannar,-,20.1,Mannar,7.261048794,7.040141582
Matale,30,7.8,Matale,8.121287346,7.866814613
Matara,27,7.1,Matara,7.05049324,6.867848396
Moneragala,37,20.8,Monaragala,10.46030331,9.427883148
Mullaitivu,-,28.8,Mullaitivu,11.15911293,10.66608906
Nuwara Eliya,23,6.6,Nuwara Eliya,14.90380955,14.26996613
Polonnaruwa,24,6.7,Polonnaruwa,13.2077589,11.79341793
Puttalam,31,5.1,Puttalam,20.65895462,18.69784737
Ratnapura,34,10.4,Ratnapura,19.53168869,18.66312218
Trincomalee,-,9,Trincomalee,14.20520687,13.11194038
Vavuniya,-,3.4,Vavuniya,8.777330399,8.021824837
